amenity_name,amenity_type,lat,long,district_name
N0053,Carpark,1.456715265,103.7936574,WOODLANDS
O0004,Carpark,1.377257666,103.8273339,CENTRAL WATER CATCHMENT
O0005,Carpark,1.37749666,103.8280214,ANG MO KIO
O0007,Carpark,1.316062211,103.8507884,KALLANG
O0008,Carpark,1.307392415,103.8847283,GEYLANG
O0010,Carpark,1.285496551,103.8347316,BUKIT MERAH
O0013,Carpark,1.284808314,103.8360967,OUTRAM
O0026,Carpark,1.327790552,103.8668744,KALLANG
O0027,Carpark,1.312905297,103.8991126,GEYLANG
O0028,Carpark,1.28444324,103.8354809,OUTRAM
O0029,Carpark,1.309820024,103.901498,GEYLANG
O0031,Carpark,1.314210199,103.8985596,GEYLANG
P0002,Carpark,1.30201586,103.861064,ROCHOR
P0006,Carpark,1.278040575,103.8449908,DOWNTOWN CORE
P0009,Carpark,1.297011795,103.8443927,MUSEUM
P0010,Carpark,1.312690077,103.8555837,KALLANG
P0011,Carpark,1.312273942,103.8581567,KALLANG
P0012,Carpark,1.284638777,103.8497705,DOWNTOWN CORE
P0013,Carpark,1.275105524,103.8480132,DOWNTOWN CORE
P0015,Carpark,1.301433197,103.8510965,ROCHOR
P0018,Carpark,1.296497674,103.8551784,DOWNTOWN CORE
P0023,Carpark,1.309679428,103.858505,KALLANG
P0024,Carpark,1.323396861,103.8086812,BUKIT TIMAH
P0025,Carpark,1.323906461,103.8085121,BUKIT TIMAH
P0028,Carpark,1.325397066,103.8495777,NOVENA
P0031,Carpark,1.276362347,103.7937123,QUEENSTOWN
P0033,Carpark,1.376423242,103.9565604,PASIR RIS
P0035,Carpark,1.331887664,103.8699051,TOA PAYOH
P0036,Carpark,1.33008265,103.8703047,TOA PAYOH
P0038,Carpark,1.305349219,103.8538286,ROCHOR
P0048,Carpark,1.28341587,103.8405637,OUTRAM
P0049,Carpark,1.363784675,103.8646639,SERANGOON
P0051,Carpark,1.309386488,103.8627792,KALLANG
P0054,Carpark,1.27615376,103.7911975,QUEENSTOWN
P0055,Carpark,1.3110223,103.8595285,KALLANG
